GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TMS,com.oracle.interview.db,ActivityRepositoryImpl,4,98,3,7,2,27,3,9,0,7
TMS,com.oracle.interview.db,UserRepositoryImpl,5,4,0,0,1,2,1,1,1,1
TMS,com.oracle.interview.db.entity,Activity,37,109,7,9,2,31,9,14,2,13
TMS,com.oracle.interview.db.entity,User,47,52,5,5,13,14,12,6,7,6
TMS,com.oracle.interview.auth,SimpleDatabaseAuthenticator,0,48,0,4,0,8,0,5,0,3
TMS,com.oracle.interview.auth,RoleBasedAuthorizer,0,15,1,3,0,2,1,3,0,2
TMS,com.oracle.interview,TMSConfiguration,3,19,0,0,1,7,1,4,1,4
TMS,com.oracle.interview,TMSApplication,6,125,0,0,2,23,1,4,1,4
TMS,com.oracle.interview,TMSApplication.new HibernateBundle() {...},0,11,0,0,0,2,0,2,0,2
TMS,com.oracle.interview,TMSApplication.new SwaggerBundle() {...},0,9,0,0,0,2,0,2,0,2
TMS,com.oracle.interview,TMSApplication.new MigrationsBundle() {...},0,9,0,0,0,2,0,2,0,2
TMS,com.oracle.interview.resources,LoginController,6,3,0,0,1,2,1,1,1,1
TMS,com.oracle.interview.resources,ActivityController,0,123,0,8,0,25,0,11,0,7
